"filename", "language", "Lua", "comment", "blank", "total"
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedFirst\GameLoading\GameLoadingService.lua", "Lua", 1, 0, 0, 1
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\Inputs.lua", "Lua", -16, 2, 1, -13
"d:\ROBLOX STUDIO\Rojo\UTP\src\ReplicatedStorage\ClientServices\SkillAnimator.lua", "Lua", 3, 0, 1, 4
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerScriptService\GameServices.server.lua", "Lua", 2, 0, 0, 2
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\Services\InventoryMananger.lua", "Lua", 9, 0, -1, 8
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\Services\SkillMananger.lua", "Lua", -4, 0, -7, -11
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\CommonFuncs.lua", "Lua", 28, 0, 11, 39
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\HitBoxMananger.lua", "Lua", 28, 0, 7, 35
"d:\ROBLOX STUDIO\Rojo\UTP\src\ServerStorage\SkillSystem\Skills\Blue.lua", "Lua", 35, 0, 11, 46
"Total", "-", 86, 2, 23, 111
